country,cases,new_cases,deaths,new_deaths,recovered,active,serious,cases_per_mil,deaths_per_mil,tot_tests,tests_per_mil,
World,4966031,77907,323627,3662,1948951,2693453,45079,637,41.5,,,
USA,1565203,14909,93156,1175,361710,1110337,16879,4732,282,12566699,37992,"330,774,664"
Russia,299941,9263,2837,115,76130,220974,2300,2055,19,7352316,50383,"145,927,292"
Spain,278803,615,27778,69,196958,54067,1152,5963,594,3037840,64977,"46,752,703"
Brazil,262545,7177,17509,656,100459,144577,8318,1236,82,735224,3462,"212,380,932"
UK,248818,2412,35341,545,N/A,N/A,1559,3667,521,2772552,40866,"67,844,241"
Italy,226699,813,32169,162,129401,65129,716,3749,532,3104524,51338,"60,471,924"
France,180809,882,28022,,62563,90224,1894,2771,429,1384633,21218,"65,256,826"
Germany,177804,515,8188,65,155700,13916,1133,2123,98,3147771,37584,"83,752,855"
Turkey,151615,1022,4199,28,112895,34521,882,1800,50,1675517,19892,"84,230,075"
Iran,124603,2111,7119,62,97173,20311,2698,1486,85,716176,8540,"83,862,642"
India,106475,6147,3302,146,42309,60864,,77,2,2404267,1744,"1,378,381,772"
Peru,99483,4550,2914,125,36524,60045,883,3022,89,679582,20646,"32,915,899"
China,82960,6,4634,,78241,85,10,58,3,,,"1,439,323,776"
Canada,79077,1005,5909,67,39976,33192,502,2097,157,1331173,35307,"37,702,769"
Saudi Arabia,59854,2509,329,9,31634,27891,237,1723,9,618084,17788,"34,747,330"
Belgium,55791,232,9108,28,14687,31996,345,4816,786,709818,61277,"11,583,739"
Mexico,51633,2414,5332,155,35388,10913,378,401,41,177133,1376,"128,770,253"
Chile,49579,3520,509,31,21507,27563,876,2596,27,397200,20799,"19,096,687"
Netherlands,44249,108,5715,21,N/A,N/A,293,2583,334,302395,17652,"17,130,492"
Pakistan,43966,1841,939,36,12489,30538,111,200,4,400292,1817,"220,356,788"
Qatar,35606,1637,15,,5634,29957,172,12384,5,166182,57801,"2,875,047"
Ecuador,34151,569,2839,40,3457,27855,221,1939,161,98171,5575,"17,610,231"
Belarus,31508,936,175,4,10620,20713,92,3334,19,375076,39692,"9,449,678"
Sweden,30799,422,3743,45,4971,22085,287,3052,371,209900,20799,"10,091,856"
Switzerland,30618,21,1891,5,27600,1127,57,3541,219,350099,40487,"8,647,139"
Portugal,29432,223,1247,16,6431,21754,101,2885,122,662375,64938,"10,200,063"
Singapore,28794,451,22,,10365,18407,10,4926,4,246254,42132,"5,844,888"
