country,cases,new_cases,deaths,new_deaths,recovered,active,serious,cases_per_mil,deaths_per_mil,tot_tests,tests_per_mil,pop
World,5542033,47578,347379,945,2321503,2873151,53272,711,44.6,,,
USA,1691206,4770,99396,96,451749,1140061,17135,5112,300,14824218,44812,"330,806,424"
Brazil,365213,1595,22746,30,149911,192556,8318,1719,107,735224,3461,"212,405,664"
Russia,353427,8946,3633,92,118798,230996,2300,2422,25,8945384,61300,"145,928,315"
Spain,282852,,28752,,196958,57142,854,6050,615,3556567,76071,"46,752,999"
UK,259559,,36793,,N/A,N/A,1559,3825,542,3458905,50979,"67,850,075"
Italy,229858,,32785,,140479,56594,553,3801,542,3447012,57003,"60,470,472"
France,182584,,28367,,64617,89600,1655,2798,435,1384633,21217,"65,259,187"
Germany,180505,177,8382,11,161200,10923,889,2155,100,3595059,42922,"83,757,235"
Turkey,156827,,4340,,118694,33793,769,1862,52,1832262,21749,"84,244,944"
India,144069,5533,4117,93,58727,81225,8944,105,3,3033591,2200,"1,378,604,014"
Iran,137724,2023,7451,34,107713,22560,2585,1642,89,818917,9763,"83,880,266"
Peru,119959,,3456,,49795,66708,920,3644,105,820967,24936,"32,923,430"
Canada,84699,,6424,,43985,34290,502,2246,170,1459288,38700,"37,708,187"
China,82985,11,4634,,78268,83,7,58,3,,,1439323776
Saudi Arabia,74795,2235,399,9,45668,28728,372,2152,11,703534,20242,"34,756,224"
Chile,73997,4895,761,43,29302,43934,1135,3874,40,488041,25553,"19,099,374"
Mexico,68620,2764,7394,215,47424,13802,378,533,57,219164,1702,"128,792,446"
Belgium,57342,250,9312,32,15297,32733,251,4950,804,788110,68031,"11,584,564"
Pakistan,56349,1748,1167,34,17482,37700,111,256,5,483656,2194,"220,427,217"
Qatar,45465,1751,26,3,10363,35076,202,15809,9,192484,66931,"2,875,845"
Netherlands,45445,209,5830,8,N/A,N/A,223,2653,340,324918,18967,"17,131,112"
Belarus,37144,946,204,5,14449,22491,92,3931,22,463004,48997,"9,449,627"
Ecuador,36756,,3108,,3560,30088,208,2087,176,106079,6022,"17,614,626"
Bangladesh,35585,1975,501,21,7334,27750,1,216,3,253034,1538,"164,519,918"
Sweden,33843,384,4029,31,4971,24843,304,3353,399,209900,20797,"10,092,886"
Singapore,31960,344,23,,15738,16199,8,5467,4,294414,50365,"5,845,641"
Portugal,30788,165,1330,14,17822,11636,72,3019,130,689705,67621,"10,199,578"
Switzerland,30746,10,1913,7,28100,733,47,3555,221,372146,43032,"8,648,175"
UAE,29485,,245,,15056,14184,1,2985,25,1600923,162071,"9,877,923"
Ireland,24639,,1608,,21060,1971,54,4996,326,295626,59940,"4,932,053"
Indonesia,22750,479,1391,19,5642,15717,,83,5,256946,940,"273,223,931"
South Africa,22583,,429,,11100,11054,128,381,7,583855,9857,"59,230,390"
Kuwait,21967,665,165,9,6621,15181,182,5152,39,273812,64217,"4,263,883"
Poland,21440,114,996,,9276,11168,160,566,26,779576,20596,"37,850,650"
Ukraine,21245,259,623,6,7234,13388,256,486,14,291868,6670,"43,758,701"
Colombia,21175,,727,,5016,15432,136,417,14,252742,4973,"50,826,673"
Romania,18283,213,1202,17,11630,5451,177,950,62,377191,19595,"19,249,829"
Egypt,17265,,764,,4807,11694,41,169,7,135000,1322,"102,125,693"
Israel,16720,3,280,1,14203,2237,43,1818,30,541322,58855,9197590
Japan,16550,,820,,13413,2317,168,131,6,271201,2144,"126,513,796"
Austria,16539,36,641,1,15138,760,31,1837,71,405341,45032,"9,001,207"
Dominican Republic,15073,272,460,2,8285,6328,123,1391,42,69608,6423,"10,836,671"
Philippines,14319,284,873,5,3323,10123,81,131,8,301677,2757,"109,427,802"
Argentina,12076,,456,4,3999,7621,171,267,10,129418,2866,"45,153,114"
Denmark,11387,27,563,1,9964,860,20,1967,97,546621,94405,"5,790,165"
S. Korea,11206,16,267,1,10226,713,15,219,5,826437,16121,"51,264,841"
Serbia,11193,34,239,1,5920,5034,12,1281,27,220344,25209,"8,740,747"
